variant,dd_threshold,persistence_bars,recovery_cooldown_bars,cagr,mdd,sharpe,gate_passed,blocker_reason,risk_off_bars,risk_off_realized_price,risk_on_realized_price
baseline_off,0.0,1,0,-0.04963324514872477,0.23778956019809863,-0.17619411264737414,False,negative_return,0,0.0,0.0
legacy_006_p1,0.06,1,0,-0.05651843339670429,0.24643499760338142,-0.20684186879882574,False,negative_return,503,0.06509630118393045,0.00035134306632755494
balanced_010_p2,0.1,2,0,-0.05780793501839848,0.2436297243890004,-0.21588126212166256,False,negative_return,252,0.0641140268301975,0.0007564513424002176
balanced_010_p3,0.1,3,0,-0.058853852752033274,0.2436297243890004,-0.22202566333430074,False,negative_return,242,0.07027007524532036,-0.005920446040580706
current_012_p3,0.12,3,0,-0.051311146226634796,0.24179919904542482,-0.1802970967848421,False,negative_return,187,0.05889171645144801,0.009251977341852586
legacy_006_p1_cd4,0.06,1,4,-0.053490877235150336,0.24502619692510055,-0.19000566145701997,False,negative_return,551,0.08075051682858758,-0.013883684903833383
legacy_006_p1_cd8,0.06,1,8,-0.050422253962364195,0.24449840596055253,-0.17278880059839485,False,negative_return,589,0.10504883985330042,-0.03670978120649683
current_012_p3_cd8,0.12,3,8,-0.05138152355371519,0.24179919904542482,-0.1806852197580197,False,negative_return,208,0.059784747900621306,0.008334172133933601
