variant,dd_threshold,persistence_bars,recovery_cooldown_bars,fold_idx,cagr,mdd,risk_off_bars,risk_off_realized_price,risk_on_realized_price,variant_cagr,variant_mdd,trade_count,deploy_leverage,selection_parity,metric_parity,adoption_passed,blocker_reason
baseline_off,0.0,1,0,0,0.8260210587362135,0.11492604458008523,0,0.0,0.0,0.49202836915073933,0.17476832741601048,830,2.057674288749695,True,True,False,baseline
baseline_off,0.0,1,0,1,0.33953657385327596,0.17476832741601148,0,0.0,0.0,0.49202836915073933,0.17476832741601048,830,2.057674288749695,True,True,False,baseline
baseline_off,0.0,1,0,2,0.3579096819285108,0.13423071881762402,0,0.0,0.0,0.49202836915073933,0.17476832741601048,830,2.057674288749695,True,True,False,baseline
legacy_006_p1,0.06,1,0,0,0.825268465582846,0.11492604458008532,87,-0.016577637973643877,0.232119661734899,0.49509728304069006,0.17474047569019124,829,2.057674288749695,True,False,False,legacy_no_improvement
legacy_006_p1,0.06,1,0,1,0.33921926575703437,0.17474047569019185,98,0.01548680470142577,0.11125009298310914,0.49509728304069006,0.17474047569019124,829,2.057674288749695,True,False,False,legacy_no_improvement
legacy_006_p1,0.06,1,0,2,0.367193288223776,0.13277235780138405,303,-0.020998404797867864,0.14313478588235662,0.49509728304069006,0.17474047569019124,829,2.057674288749695,True,False,False,legacy_no_improvement
balanced_010_p2,0.1,2,0,0,0.8260210587362135,0.11492604458008523,13,-0.03337809705471696,0.2489230436116114,0.49321788873692757,0.17476832741601048,829,2.057674288749695,True,False,False,legacy_no_improvement
balanced_010_p2,0.1,2,0,1,0.33953657385327596,0.17476832741601148,6,0.006777108044197388,0.12001512710049697,0.49321788873692757,0.17476832741601048,829,2.057674288749695,True,False,False,legacy_no_improvement
balanced_010_p2,0.1,2,0,2,0.3611600523062614,0.1331506168949303,180,0.007628506673315642,0.1133455491474279,0.49321788873692757,0.17476832741601048,829,2.057674288749695,True,False,False,legacy_no_improvement
balanced_010_p3,0.1,3,0,0,0.8260210587362135,0.11492604458008523,10,-0.02482077065527349,0.24036571721216782,0.4932327334300096,0.17476832741601048,829,2.057674288749695,True,False,False,legacy_no_improvement
balanced_010_p3,0.1,3,0,1,0.33953657385327596,0.17476832741601148,5,0.0051430953461448275,0.12164913979854952,0.4932327334300096,0.17476832741601048,829,2.057674288749695,True,False,False,legacy_no_improvement
balanced_010_p3,0.1,3,0,2,0.3612006482653132,0.13315061689492888,171,0.004558042864312922,0.11642310948636861,0.4932327334300096,0.17476832741601048,829,2.057674288749695,True,False,False,legacy_no_improvement
current_012_p3,0.12,3,0,0,0.8260210587362135,0.11492604458008523,2,0.0017524809693156085,0.21379246558757867,0.49309397595550547,0.17476832741601048,829,2.057674288749695,True,False,False,legacy_no_improvement
current_012_p3,0.12,3,0,1,0.33953657385327596,0.17476832741601148,0,0.0,0.12679223514469437,0.49309397595550547,0.17476832741601048,829,2.057674288749695,True,False,False,legacy_no_improvement
current_012_p3,0.12,3,0,2,0.3608212180345036,0.13327508204512697,104,0.015106284574931992,0.10579668458992594,0.49309397595550547,0.17476832741601048,829,2.057674288749695,True,False,False,legacy_no_improvement
legacy_006_p1_cd4,0.06,1,4,0,0.82485465283253,0.1149260445800841,122,-0.009579560995439374,0.22507799664984887,0.49552899507089704,0.17474047569019158,829,2.057674288749695,True,False,False,legacy_no_improvement
legacy_006_p1_cd4,0.06,1,4,1,0.3420723155671164,0.1747404756901917,115,0.025487719109824027,0.10176903725288067,0.49552899507089704,0.17474047569019158,829,2.057674288749695,True,False,False,legacy_no_improvement
legacy_006_p1_cd4,0.06,1,4,2,0.3657786372795132,0.13277235780138405,338,-0.01849463332215382,0.1403357837055804,0.49552899507089704,0.17474047569019158,829,2.057674288749695,True,False,False,legacy_no_improvement
legacy_006_p1_cd8,0.06,1,8,0,0.82485465283253,0.1149260445800841,144,-0.015935867671442016,0.23143430332585166,0.49552899507089704,0.17474047569019158,829,2.057674288749695,True,False,False,legacy_no_improvement
legacy_006_p1_cd8,0.06,1,8,1,0.3420723155671164,0.1747404756901917,127,0.02418445412137752,0.10307230224132718,0.49552899507089704,0.17474047569019158,829,2.057674288749695,True,False,False,legacy_no_improvement
legacy_006_p1_cd8,0.06,1,8,2,0.3657786372795132,0.13277235780138405,365,-0.028839474654350706,0.15068062503777727,0.49552899507089704,0.17474047569019158,829,2.057674288749695,True,False,False,legacy_no_improvement
current_012_p3_cd8,0.12,3,8,0,0.8254886875660242,0.11492604458008472,21,-0.004153810019081279,0.21962330694914092,0.4929488594385054,0.17476832741601117,829,2.057674288749695,True,False,False,legacy_no_improvement
current_012_p3_cd8,0.12,3,8,1,0.33953657385327596,0.17476832741601148,0,0.0,0.12679223514469437,0.4929488594385054,0.17476832741601117,829,2.057674288749695,True,False,False,legacy_no_improvement
current_012_p3_cd8,0.12,3,8,2,0.3608212180345036,0.13327508204512697,131,0.003820694229688717,0.11708227493516923,0.4929488594385054,0.17476832741601117,829,2.057674288749695,True,False,False,legacy_no_improvement
