variant,baseline_parity,l2_cagr,l2_mdd,l2_turnover,l2_average_gross_exposure,l2_gate_passed,l2_blocker_reason,l3_cagr,l3_mdd,l3_sharpe,l3_total_return,l3_gate_passed,l3_blocker_reason,adoption_passed,blocker_reason
baseline,True,0.5818907356544181,0.17604516105737103,0.12332135965188726,0.504246421098051,True,,-0.17056083320898416,0.26849369715599725,-1.212707909059134,-0.16928497875048265,False,negative_return,False,
veto_adverse_only,True,0.5253800646321003,0.19710279773626554,0.12245426972407886,0.504246421098051,True,,-0.07479556645738993,0.1815832227047763,-0.3972291914589309,-0.07420420570458697,False,negative_return,False,
contextual_cap_mu,True,0.5653808726490405,0.1790037970948522,0.12319239457763141,0.504246421098051,True,,-0.03274317384810916,0.17040671008466435,-0.1273333691864837,-0.03247847050323349,False,negative_return,False,fit_cagr_degradation
contextual_zero_mu,True,0.5653808726490405,0.1790037970948522,0.12319239457763141,0.504246421098051,True,,-0.03274317384810916,0.17040671008466435,-0.1273333691864837,-0.03247847050323349,False,negative_return,False,fit_cagr_degradation
contextual_crisis_only,True,0.5831576753344359,0.17349198625367088,0.12309727568084322,0.504246421098051,True,,-0.05147656675251469,0.18634311543634985,-0.2541085509734502,-0.05106446374591789,False,negative_return,True,
