seed,baseline_parity,baseline_l2_cagr,candidate_l2_cagr,delta_l2_cagr,baseline_l3_total_return,candidate_l3_total_return,delta_l3_total_return,baseline_l3_cagr,candidate_l3_cagr,delta_l3_cagr,baseline_l3_mdd,candidate_l3_mdd,delta_l3_mdd,baseline_trades,candidate_trades,trade_ratio,blocker_reason
7,True,0.009888846592294978,-0.004230027028386838,-0.014118873620681816,-0.2129485309833672,-0.2129485309833672,0.0,-0.214508876955357,-0.214508876955357,0.0,0.22271936803507222,0.22271936803507222,0.0,28,28,1.0,below_median_total_return_delta
42,True,0.03985523457224199,0.011817134662889943,-0.02803809990935205,-0.0683375306911369,-0.0683375306911369,0.0,-0.06888389614003877,-0.06888389614003877,0.0,0.14478612099177451,0.14478612099177451,0.0,45,45,1.0,below_median_total_return_delta
123,True,0.08834754567041915,0.08834754567041915,0.0,-0.06974212065525653,-0.06974212065525653,0.0,-0.07029928696998937,-0.07029928696998937,0.0,0.14306842049146878,0.14306842049146878,0.0,42,42,1.0,below_median_total_return_delta
